Symbol;Full Name;GICS Sector;Sub Industry;Environment Score;Social Score;Governance Score;ESG Total Score;Controversy Level;Percentile;Rating Year;Rating Month;Market Cap;beta;Overall Risk;Rating Date
A;Agilent Technologies;Health Care;Life Sciences Tools & Services;1.12;6.42;6.1;13.64;2.0;7.98;2023;9;39751831552;1.054;8;2023-09-01
AAL;American Airlines Group;Industrials;Passenger Airlines;9.94;11.65;4.76;26.35;2.0;54.48;2023;9;7335383552;1.433;10;2023-09-01
AAPL;Apple Inc.;Information Technology;Technology Hardware, Storage & Peripherals;0.46;7.39;9.37;17.22;3.0;17.82;2023;9;3296096681984;1.24;1;2023-09-01
ABBV;AbbVie;Health Care;Biotechnology;2.38;17.19;10.36;29.93;3.0;68.62;2023;9;341698445312;0.619;6;2023-09-01
ABT;Abbott Laboratories;Health Care;Health Care Equipment;2.27;14.24;8.33;24.83;3.0;48.27;2023;9;205534380032;0.722;7;2023-09-01
ACGL;Arch Capital Group;Financials;Property & Casualty Insurance;1.47;10.1;10.89;22.46;2.0;37.87;2023;9;42855567360;0.596;5;2023-09-01
ACN;Accenture;Information Technology;IT Consulting & Other Services;0.82;4.61;4.41;9.84;2.0;2.63;2023;9;211116474368;1.239;2;2023-09-01
ADBE;Adobe Inc.;Information Technology;Application Software;1.94;5.99;5.15;13.08;2.0;6.85;2023;9;231233028096;1.296;1;2023-09-01
ADI;Analog Devices;Information Technology;Semiconductors;9.27;6.68;6.98;22.92;1.0;39.7;2023;9;111884697600;1.073;9;2023-09-01
ADM;Archer Daniels Midland;Consumer Staples;Agricultural Products & Services;16.64;10.15;5.01;31.79;3.0;74.94;2023;9;28908466176;0.714;4;2023-09-01
ADP;Automatic Data Processing;Industrials;Human Resource & Employment Services;2.8;5.54;5.49;13.82;1.0;8.36;2023;9;113942003712;0.802;2;2023-09-01
ADSK;Autodesk;Information Technology;Application Software;3.68;8.19;4.89;16.76;0.0;16.44;2023;9;57698152448;1.476;2;2023-09-01
AEE;Ameren;Utilities;Multi-Utilities;12.85;9.07;5.25;27.17;2.0;57.57;2023;9;22804828160;0.458;7;2023-09-01
AEP;American Electric Power;Utilities;Electric Utilities;12.66;8.1;5.38;26.14;2.0;53.69;2023;9;55846035456;0.533;2;2023-09-01
AES;AES Corporation;Utilities;Independent Power Producers & Energy Traders;13.26;8.18;5.26;26.69;2.0;55.64;2023;9;13678178304;1.062;4;2023-09-01
AFL;Aflac;Financials;Life & Health Insurance;0.3;9.14;8.9;18.33;1.0;21.68;2023;9;61698056192;0.949;6;2023-09-01
